section_ref,offence_description,punishment,cognizable,bailable,triable_by,part
309(6),Causing hurt.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Magistrate of the first class,I
310(2),Dacoity.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
310(3),Murder in dacoity.,"Death, imprisonment for life, or rigorous imprisonment for not less than 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
310(4),Making preparation to commit dacoity.,Rigorous imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
310(5),Being one of five or more persons assembled for the purpose of committing dacoity.,Rigorous imprisonment for 7 years and fine.,Cognizable,Non-bailable,Court of Session,I
310(6),Belonging to a gang of persons associated for the purpose of habitually committing dacoity.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
311,"Robbery or dacoity, with attempt to cause death or grievous hurt.",Imprisonment for not less than 7 years.,Cognizable,Non-bailable,Court of Session,I
312,Attempt to commit robbery or dacoity when armed with deadly weapon.,Imprisonment for not less than 7 years.,Cognizable,Non-bailable,Court of Session,I
313,Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts.,Rigorous imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
314,"Dishonest misappropriation of movable property, or converting it to one's own use.",Imprisonment of not less than 6 months but which may extend to 2 years and fine.,Non-cognizable,Bailable,Any Magistrate,I
315,Dishonest misappropriation of property possessed by deceased person at the time of his death. If by clerk or person employed by deceased.,Imprisonment for 3 years and fine. Imprisonment for 7 years.,Non-cognizable. Non-cognizable,Bailable. Bailable,Magistrate of the first class. Magistrate of the first class,I
316(2),Criminal breach of trust.,"Imprisonment for 5 years, or fine, or both.",Cognizable,Non-bailable,Magistrate of the first class,I
316(3),"Criminal breach of trust by a carrier, wharfinger, etc.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
316(4),Criminal breach of trust by a clerk or servant.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
316(5),"Criminal breach of trust by public servant or by banker, merchant or agent, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Magistrate of the first class,I
317(2),Dishonestly receiving stolen property knowing it to be stolen.,"Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
317(3),"Dishonestly receiving stolen property, knowing that it was obtained by dacoity.","Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
317(4),Habitually dealing in stolen property.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
317(5),"Assisting in concealment or disposal of stolen property, knowing it to be stolen.","Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
318(2),Cheating.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
318(3),"Cheating a person whose interest the offender was bound, either by law or by legal contract, to protect.","Imprisonment for 5 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
318(4),Cheating and dishonestly inducing delivery of property.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
319(2),Cheating by personation.,"Imprisonment for 5 years, or with fine, or with both.",Cognizable,Bailable,Any Magistrate,I
320,"Fraudulent removal or concealment of property, etc., to prevent distribution among creditors.","Imprisonment of not be less than 6 months but which may extend to 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
321,Dishonest or fraudulently preventing from being made available for his creditors a debt or demand due to the offender.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
322,Dishonest or fraudulent execution of deed of transfer containing a false statement of consideration.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
323,"Fraudulent removal or concealment of property, of himself or any other person or assisting in the doing thereof, or dishonestly releasing any demand or claim to which he is entitled.","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
324(2),Mischief.,"Imprisonment for 6 months, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
324(3),Mischief causing loss or damage to any property including property of Government or Local Authority.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
324(4),Mischief causing loss or damage to the amount of twenty thousand rupees but less than 2 lakh rupees.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
324(5),Mischief causing loss or damage to the amount of one lakh rupees or upwards.,"Imprisonment for 5 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
324(6),"Mischief with preparation for causing to any person death, or hurt, or wrongful restraint, or fear of death, or of hurt, or of wrongful restraint.","Imprisonment for 5 years, and fine.",Cognizable,Bailable,Magistrate of the first class,I
325,Mischief by killing or maiming animal.,"Imprisonment for 5 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
326(a),"Mischief by causing diminution of supply of water for agricultural purposes, etc.","Imprisonment for 5 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
326(b),"Mischief by injury to public road, bridge, navigable river, or navigable channel, and rendering it impassable or less safe for travelling or conveying property.","Imprisonment for 5 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
326(c),Mischief by causing inundation or obstruction to public drainage attended with damage.,"Imprisonment for 5 years, or with fine, or with both.",Cognizable,Bailable,Magistrate of the first class,I
326(d),"Mischief by destroying or moving or rendering less useful a lighthouse or seamark, or by exhibiting false lights.","Imprisonment for 7 years, or fine, or both.",Cognizable,Bailable,Magistrate of the first class,I
326(e),"Mischief by destroying or moving, etc., a landmark fixed by public authority.","Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
326(f),Mischief by fire or explosive substance with intent to cause damage.,Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
326(g),"Mischief by fire or explosive substance with intent to destroy a house, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
327(1),Mischief with intent to destroy or make unsafe a decked vessel or a vessel of 20 tonnes burden.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
327(2),The mischief described in the last section when committed by fire or any explosive substance.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
328,"Running vessel with intent to commit theft, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
329(3),Criminal trespass.,"Imprisonment for 3 months, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
329(4),House-trespass.,"Imprisonment for 1 year, or fine of 5,000 rupees, or both.",Cognizable,Bailable,Any Magistrate,I
331(1),Lurking house-trespass or house-breaking.,Imprisonment for 2 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
331(2),Lurking house-trespass or house-breaking by night.,Imprisonment for 3 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
331(3),Lurking house-trespass or house-breaking in order to the commission of an offence punishable with imprisonment.,Imprisonment for 3 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
331(3),If the offence be theft.,Imprisonment for 10 years.,Cognizable,Non-bailable,Magistrate of the first class,I
331(4),Lurking house-trespass or house-breaking by night in order to the commission of an offence punishable with imprisonment.,Imprisonment for 5 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
331(4),If the offence be theft.,Imprisonment for 14 years.,Cognizable,Non-bailable,Magistrate of the first class,I
331(5),"Lurking house-trespass or house-breaking after preparation made for causing hurt, assault, etc.",Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
331(6),"Lurking house-trespass or house-breaking by night, after preparation made for causing hurt, etc.",Imprisonment for 14 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
331(7),Grievous hurt caused whilst committing lurking house-trespass or house-breaking.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
331(8),"Death or grievous hurt caused by one of several persons jointly concerned in house-breaking by night, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
332(a),House-trespass in order to the commission of an offence punishable with death.,"Imprisonment for life, or rigorous imprisonment for 10 years and fine.",Cognizable,Non-bailable,Court of Session,I
332(b),House-trespass in order to the commission of an offence punishable with imprisonment for life.,Imprisonment for 10 years and fine.,Cognizable,Non-bailable,Court of Session,I
332(c),House-trespass in order to the commission of an offence punishable with imprisonment.,Imprisonment for 2 years and fine.,Cognizable,Bailable,Any Magistrate,I
332(c),If the offence is theft.,Imprisonment for 7 years.,Cognizable,Non-bailable,Any Magistrate,I
333,"House-trespass, having made preparation for causing hurt, assault, etc.",Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
334(1),Dishonestly breaking open or unfastening any closed receptacle containing or supposed to contain property.,"Imprisonment for 2 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
334(2),"Being entrusted with any closed receptacle containing or supposed to contain any property, and fraudulently opening the same.","Imprisonment for 3 years, or fine, or both.",Cognizable,Bailable,Any Magistrate,I
336(2),Forgery.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
336(3),Forgery for the purpose of cheating.,Imprisonment for 7 years and fine.,Cognizable,Non-bailable,Magistrate of the first class,I
336(4),Forgery for the purpose of harming the reputation of any person or knowing that it is likely to be used for that purpose.,Imprisonment for 3 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
337,"Forgery of a record of a Court or of a Registrar of Births, etc., kept by a public servant.",Imprisonment for 7 years and fine,Non-cognizable,Non-bailable,Magistrate of the first class,I
338,"Forgery of a valuable security, will, or authority to make or transfer any valuable security, or to receive any money, etc.","Imprisonment for life, or imprisonment for 10 years and fine.",Non-cognizable,Non-bailable,Magistrate of the first class,I
338,When the valuable security is a promissory note of the Central Government.,"Imprisonment for life, or imprisonment for 10 years and fine.",Cognizable,Non-bailable,Magistrate of the first class,I
339,"Having possession of a document, knowing it to be forged, with intent to use as genuine; if the document is one of the description mentioned in section 337.",Imprisonment for 7 years and fine. it,Cognizable,Bailable,Magistrate of the first class,I
339,If the document is one of the description mentioned in section 338.,"Imprisonment for life, or imprisonment for 7 years and fine.",Non-cognizable,Bailable,Magistrate of the first class,I
340(2),Using as genuine a forged document which is known to be forged.,Punishment for forgery of such document.,Cognizable,Bailable,Magistrate of the first class,I
341(1),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.","Imprisonment for life, or imprisonment for 7 years and fine.",Cognizable,Bailable,Magistrate of the first class,I
341(2),"Making or counterfeiting a seal, plate, etc., with intent to commit a forgery punishable otherwise than under section 338 or possessing with like intent any such seal, plate, etc., knowing the same to be counterfeit.",Imprisonment for 7 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
341(3),"Possesses any seal, plate or other instrument knowing the same to be counterfeit.",Imprisonment for 3 years and fine.,Cognizable,Bailable,Magistrate of the first class,I
341(4),"Fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit.","Same as if he had made or counterfeited such seal, plate or other instrument.",Cognizable,Bailable,Magistrate of the first class,I
342(1),Counterfeiting a device or mark used for authenticating documents described in section 338 or possessing counterfeit marked material.,"Imprisonment for life, or imprisonment for 7 years and fine.",Non-cognizable,Bailable,Magistrate of the first class,I
342(2),Counterfeiting a device or mark used for authenticating documents other than those described in section 338 or possessing counterfeit marked material.,Imprisonment for 7 years and fine.,Non-cognizable,Non-bailable,Magistrate of the first class,I
343,"Fraudulently destroying or defacing, or attempting to destroy or deface, or secreting, a will, etc.","Imprisonment for life, or imprisonment for 7 years and fine.",Non-cognizable,Non-bailable,Magistrate of the first class,I
344,Falsification of accounts.,"Imprisonment for 7 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
345(3),Using a false property mark with intent to deceive or injure any person.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
346,"Removing, destroying or defacing property mark with intent to cause injury.","Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
347(1),"Counterfeiting a property mark used by another, with intent to cause damage or injury.","Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
347(2),"Counterfeiting a property mark used by a public servant, or any mark used by him to denote the manufacture, quality, etc., of any property.",Imprisonment for 3 years and fine.,Non-cognizable,Bailable,Magistrate of the first class,I
348,"Fraudulently making or having possession of any die, plate or other instrument for counterfeiting any public or private property mark.","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
349,Knowingly selling goods marked with a counterfeit property mark.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
350(1),"Fraudulently making a false mark upon any package or receptacle containing goods, with intent to cause it to be believed that it contains goods, which it does not contain, etc.","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
350(2),Making use of any such false mark.,"Imprisonment for 3 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
351(2),Criminal intimidation.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
351(3),"If threat be to cause death or grievous hurt, etc.","Imprisonment for 7 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
351(4),Criminal intimidation by anonymous communication or having taken precaution to conceal whence the threat comes.,"Imprisonment for 2 years, in addition to the punishment under section 351(1).",Non-cognizable,Bailable,Magistrate of the first class,I
352,Insult intended to provoke breach of the peace.,"Imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
353(1),"False statement, rumour, etc., circulated with intent to cause mutiny or offence against the public peace.","Imprisonment for 3 years, or fine, or both.",Non-cognizable,Non-bailable,Any Magistrate,I
353(2),"False statement, rumour, etc., with intent to create enmity, hatred or ill-will between different classes.","Imprisonment for 3 years, or fine, or both.",Cognizable,Non-bailable,Any Magistrate,I
353(3),"False statement, rumour, etc., made in place of worship, etc., with intent to create enmity, hatred or ill-will.",Imprisonment for 5 years and fine.,Cognizable,Non-bailable,Any Magistrate,I
354,Act caused by inducing a person to believe that he will be rendered an object of Divine displeasure.,"Imprisonment for 1 year, or fine, or both.",Non-cognizable,Bailable,Any Magistrate,I
355,"Appearing in a public place, etc., in a state of intoxication, and causing annoyance to any person.","Simple imprisonment for 24 hours, or fine of 1,000 rupees, or both or with community service.",Non-cognizable,Bailable,Any Magistrate,I
356(2),Defamation against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor.,"Simple imprisonment for 2 years, or fine or both, or community service.",Non-cognizable,Bailable,Court of Session,I
356(2),Defamation in any other case.,"Simple imprisonment for 2 years, or fine or both, or community service.",Non-cognizable,Bailable,Magistrate of the first class,I
356(3),Printing or engraving matter knowing it to be defamatory against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor.,"Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Court of Session,I
356(3),"Printing or engraving matter knowing it to be defamatory, in any other case.","Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
356(4),"Sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter against the President or the Vice-President or the Governor of a State or Administrator of a Union territory or a Minister in respect of his conduct in the discharge of his public functions when instituted upon a complaint made by the Public Prosecutor.","Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Court of Session,I
356(4),"Sale of printed or engraved substance containing defamatory matter, knowing it to contain such matter in any other case.","Simple imprisonment for 2 years, or fine, or both.",Non-cognizable,Bailable,Magistrate of the first class,I
357,"Being bound to attend on or supply the wants of a person who is helpless from youth, unsoundness of mind or disease, and voluntarily omitting to do so.","Imprisonment for 3 months, or fine of 5,000 rupees, or both.",Non-cognizable,Bailable,Any Magistrate,I
,"If punishable with death, imprisonment for life, or imprisonment for more than 7 years.",,Cognizable,Non-bailable,Court of Session,II
,If punishable with imprisonment for 3 years and upwards but not more than 7 years.,,Cognizable,Non-bailable,Magistrate of the first class,II
,If punishable with imprisonment for less than 3 years or with fine only.,,Non-cognizable,Bailable,Any Magistrate,II
